test_case_num,solver_name,time,peak_memory,num_cars,moves,node
1,BFS,0.33038279999163933,1444.875,8,15,1065
2,BFS,1.1447401999903377,5563.453125,11,13,2534
3,BFS,0.17047870000533294,931.2421875,6,32,805
4,BFS,0.08469800000602845,543.2578125,7,21,412
5,BFS,1.166263599996455,4952.9453125,11,17,2481
6,BFS,0.7982309000071837,4030.796875,11,17,1978
7,BFS,1.3932714000111446,6579.6796875,9,20,3669
8,BFS,0.43010599999979604,2125.6015625,14,21,950
9,BFS,0.18921190001128707,1232.2890625,12,16,466
10,BFS,0.8636905000021216,4441.671875,12,31,2006
11,BFS,0.19643840000208002,1148.2734375,8,55,840
12,BFS,0.2142401000019163,1339.5625,8,32,867
13,BFS,5.431810900001437,22277.296875,13,31,10115
14,BFS,6.263011600007303,27720.578125,12,33,11906
15,BFS,0.2302856000023894,1188.4140625,14,31,522
16,BFS,1.0361835000076098,5325.03125,11,40,2621
17,BFS,0.9558804999978747,4388.8515625,12,46,2137
18,BFS,0.4621908999979496,2442.265625,9,59,1608
19,BFS,0.11559229998965748,672.8984375,8,43,474
20,BFS,0.5849105000088457,3339.2265625,10,17,1668
21,BFS,0.04539719999593217,322.9375,7,48,259
22,BFS,2.218690900001093,9602.90625,12,45,4605
23,BFS,0.8138527000119211,4468.3359375,10,48,2598
24,BFS,1.75851220000186,6705.015625,10,49,4203
25,BFS,4.727085299993632,18875.5703125,13,51,8781
26,BFS,2.179235100004007,9614.2578125,12,48,4803
27,BFS,0.8645382999966387,4521.25,10,56,2713
28,BFS,0.8437637000024552,4327.6171875,12,50,1970
29,BFS,1.95076040001004,8581.375,12,53,4297
30,BFS,0.3553925000014715,1838.9921875,10,54,1168
31,BFS,1.4372814999951515,7425.328125,11,68,3901
32,BFS,0.17565779999131337,1184.2421875,11,61,604
33,BFS,1.6270036000059918,8089.7734375,12,76,3925
34,BFS,1.8727083000121638,8778.53125,12,70,4400
35,BFS,1.4045912000001408,7372.1875,11,74,3867
36,BFS,1.0688745999941602,5484.4921875,12,62,2487
37,BFS,0.9094897000031779,4190.328125,13,64,1944
38,BFS,1.3486111999955028,7398.8046875,11,76,3773
39,BFS,1.3948784999956843,7754.9296875,12,81,3796
40,BFS,1.282198500004597,6531.1328125,13,80,2941
