test_case_num,solver_name,time,peak_memory,num_cars,moves,node
1,DFS,0.17945149999286514,1461.2578125,8,167,1038
2,DFS,1.099132200004533,19064.9296875,11,2212,9439
3,DFS,0.08334690000629053,899.328125,6,172,761
4,DFS,0.02667190000647679,386.671875,7,97,299
5,DFS,0.35932689999754075,4919.65625,11,624,2453
6,DFS,0.16930329999013338,3001.8828125,11,416,1473
7,DFS,0.5931603999924846,9274.7109375,9,1319,5695
8,DFS,0.1267336000018986,1765.703125,14,246,755
9,DFS,0.1467051000072388,2146.609375,12,290,1023
10,DFS,0.41126550000626594,6838.5859375,12,887,3228
11,DFS,0.06650970000191592,916.046875,8,216,634
12,DFS,0.23235639999620616,1629.7578125,8,138,1198
13,DFS,1.6200899000104982,22208.3046875,13,2531,9882
14,DFS,1.578851800004486,25863.484375,12,2462,12190
15,DFS,0.09022739999636542,1117.21875,14,176,473
16,DFS,0.35825849999673665,4836.6875,11,617,2415
17,DFS,0.23137219999625813,3862.0,12,543,1798
18,DFS,0.3064602999947965,2475.1328125,9,287,1600
19,DFS,0.05337829999916721,866.171875,8,203,595
20,DFS,0.19454830000177026,2587.953125,10,428,1493
21,DFS,0.019935000003897585,287.4765625,7,105,221
22,DFS,0.5536630999995396,6935.328125,12,798,3292
23,DFS,0.08995759999379516,1305.1171875,10,275,781
24,DFS,0.6169317000021692,7614.75,10,1171,4543
25,DFS,1.3451513999898452,16861.7890625,13,1754,7478
26,DFS,0.4827938999951584,6216.1171875,12,726,2951
27,DFS,0.26596129999961704,3591.9140625,10,624,2115
28,DFS,0.4699579000007361,4716.3671875,12,486,2247
29,DFS,0.9460205000068527,8777.0234375,12,875,4239
30,DFS,0.15767289999348577,1727.765625,10,376,1033
31,DFS,0.4484678000007989,6030.3671875,11,907,3026
32,DFS,0.12502749999111984,1197.0625,11,149,612
33,DFS,1.0637653000012506,8374.046875,12,695,4078
34,DFS,0.5176382999925409,6416.34375,12,803,3049
35,DFS,0.6706616000010399,6856.6328125,11,793,3500
36,DFS,0.6633347000024514,6311.9375,12,629,3026
37,DFS,0.23874570000043605,3204.5546875,13,384,1412
38,DFS,0.8464262000052258,7763.6953125,11,847,3983
39,DFS,0.5909932999929879,6209.0625,12,688,2978
40,DFS,0.5351877000066452,6064.5078125,13,720,2729
